intersection_id,tollgate_id,time_window,avg_travel_time,sum_travel_time,avg_travel_flow,route,speed
B,3,2016-07-19 00:00:00,70.85,70.85,0.05904166666666666,B->3,6.732533521524347
B,3,2016-07-19 00:20:00,148.79,148.79,0.12399166666666667,B->3,3.2058606089118893
B,3,2016-07-19 01:40:00,93.72,187.44,0.1562,B->3,5.089628681177977
B,3,2016-07-19 02:00:00,67.81,67.81,0.056508333333333334,B->3,7.034360713759033
B,3,2016-07-19 02:40:00,167.55,335.09,0.27924166666666667,B->3,2.8469113697403756
B,3,2016-07-19 03:40:00,98.49,393.96,0.3283,B->3,4.843131282363692
B,3,2016-07-19 04:00:00,96.67,193.34,0.16111666666666666,B->3,4.934312609910003
B,3,2016-07-19 04:20:00,53.15,53.15,0.04429166666666667,B->3,8.974600188146754
B,3,2016-07-19 04:40:00,55.25,110.49,0.09207499999999999,B->3,8.633484162895927
B,3,2016-07-19 05:00:00,209.66,209.66,0.17471666666666666,B->3,2.2751120862348566
B,3,2016-07-19 06:00:00,145.94,145.94,0.12161666666666666,B->3,3.2684664930793477
B,3,2016-07-19 06:20:00,127.35,127.35,0.106125,B->3,3.745583038869258
B,3,2016-07-19 06:40:00,97.2,97.2,0.081,B->3,4.907407407407407
B,3,2016-07-19 07:00:00,118.43,592.14,0.49345,B->3,4.027695685214895
B,3,2016-07-19 07:20:00,82.63,165.26,0.13771666666666665,B->3,5.7727217717536
B,3,2016-07-19 07:40:00,110.5,110.5,0.09208333333333334,B->3,4.316742081447964
B,3,2016-07-19 08:00:00,125.76,377.28,0.31439999999999996,B->3,3.79293893129771
B,3,2016-07-19 08:20:00,141.33,706.67,0.5888916666666666,B->3,3.375079600933984
B,3,2016-07-19 08:40:00,176.08,1232.54,1.0271166666666667,B->3,2.708995910949568
B,3,2016-07-19 09:00:00,165.29,495.87,0.413225,B->3,2.8858370137334384
B,3,2016-07-19 09:20:00,127.38,509.53,0.4246083333333333,B->3,3.7447008949599625
B,3,2016-07-19 09:40:00,117.83,471.31,0.3927583333333333,B->3,4.048205041160995
B,3,2016-07-19 10:00:00,98.92,593.53,0.4946083333333333,B->3,4.822078447230085
B,3,2016-07-19 10:20:00,113.0,677.99,0.5649916666666667,B->3,4.221238938053097
B,3,2016-07-19 10:40:00,98.15,98.15,0.08179166666666667,B->3,4.859908303616913
B,3,2016-07-19 11:00:00,95.98,287.95,0.23995833333333333,B->3,4.96978537195249
B,3,2016-07-19 11:20:00,84.36,337.45,0.28120833333333334,B->3,5.6543385490753915
B,3,2016-07-19 11:40:00,96.54,289.62,0.24135,B->3,4.940957116221255
B,3,2016-07-19 12:00:00,144.87,144.87,0.120725,B->3,3.2926071650445228
B,3,2016-07-19 12:20:00,136.36,136.36,0.11363333333333335,B->3,3.498093282487533
B,3,2016-07-19 12:40:00,129.5,388.51,0.3237583333333333,B->3,3.6833976833976836
B,3,2016-07-19 13:00:00,116.47,698.82,0.58235,B->3,4.095475229672878
B,3,2016-07-19 13:20:00,119.37,716.21,0.5968416666666667,B->3,3.9959788891681325
B,3,2016-07-19 13:40:00,176.65,176.65,0.14720833333333333,B->3,2.700254741013303
B,3,2016-07-19 14:00:00,159.46,318.93,0.265775,B->3,2.9913457920481625
B,3,2016-07-19 14:20:00,129.48,776.87,0.6473916666666667,B->3,3.683966635773865
B,3,2016-07-19 14:40:00,120.24,1202.41,1.0020083333333334,B->3,3.9670658682634734
B,3,2016-07-19 15:00:00,115.29,807.04,0.6725333333333333,B->3,4.137392661982826
B,3,2016-07-19 15:20:00,129.47,517.89,0.431575,B->3,3.6842511778790454
B,3,2016-07-19 15:40:00,120.76,724.54,0.6037833333333333,B->3,3.9499834382245775
B,3,2016-07-19 16:00:00,116.07,928.55,0.7737916666666667,B->3,4.109589041095891
B,3,2016-07-19 16:20:00,152.5,914.99,0.7624916666666667,B->3,3.1278688524590166
B,3,2016-07-19 16:40:00,101.66,609.98,0.5083166666666666,B->3,4.692110958095613
B,3,2016-07-19 17:00:00,139.36,557.45,0.4645416666666667,B->3,3.4227898966704933
B,3,2016-07-19 17:20:00,103.67,414.66,0.34555,B->3,4.601138227066654
B,3,2016-07-19 17:40:00,109.3,109.3,0.09108333333333334,B->3,4.364135407136322
B,3,2016-07-19 18:00:00,108.3,216.6,0.1805,B->3,4.404432132963989
B,3,2016-07-19 18:20:00,91.94,183.87,0.153225,B->3,5.18816619534479
B,3,2016-07-19 18:40:00,106.92,534.59,0.4454916666666667,B->3,4.461279461279461
B,3,2016-07-19 19:20:00,115.99,695.93,0.5799416666666666,B->3,4.1124234847831715
B,3,2016-07-19 19:40:00,209.49,209.49,0.174575,B->3,2.276958327366461
B,3,2016-07-19 20:00:00,112.25,224.51,0.18709166666666666,B->3,4.249443207126949
B,3,2016-07-19 20:40:00,96.82,387.3,0.32275000000000004,B->3,4.926668043792605
B,3,2016-07-19 21:20:00,133.02,266.05,0.22170833333333334,B->3,3.585926928281461
B,3,2016-07-19 21:40:00,96.96,290.87,0.24239166666666667,B->3,4.919554455445545
B,3,2016-07-19 22:00:00,149.31,298.63,0.24885833333333332,B->3,3.194695599758891
B,3,2016-07-19 22:20:00,100.55,100.55,0.08379166666666667,B->3,4.743908503232223
B,3,2016-07-19 23:00:00,97.07,97.07,0.08089166666666667,B->3,4.913979602348821
B,3,2016-07-19 23:40:00,121.11,242.22,0.20185,B->3,3.9385682437453555
B,3,2016-07-20 01:00:00,93.17,186.35,0.15529166666666666,B->3,5.119673714715037
B,3,2016-07-20 01:40:00,33.25,33.25,0.027708333333333335,B->3,14.345864661654135
B,3,2016-07-20 02:20:00,127.48,254.96,0.21246666666666666,B->3,3.741763413868842
B,3,2016-07-20 02:40:00,157.13,157.13,0.13094166666666665,B->3,3.035702921148094
B,3,2016-07-20 03:00:00,125.75,125.75,0.10479166666666667,B->3,3.79324055666004
